what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.1.v201005250945,"org.eclipse.datatools.sqltools.sqlscrapbook.SQLScrapbookEditor",1504429600173
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504429606452
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.findReplace",1504429606487
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504429618302
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1504429619452
activated,view,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.views.SearchView",1504429623182
activated,editor,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.1.v201005250945,"org.eclipse.datatools.sqltools.sqlscrapbook.SQLScrapbookEditor",1504429629977
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.selectAll",1504429661466
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1504429662351
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504429668467
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504429764820
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504429765902
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504429766816
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504429767336
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504429780253
activated,view,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.views.SearchView",1504429787313
activated,editor,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.1.v201005250945,"org.eclipse.datatools.sqltools.sqlscrapbook.SQLScrapbookEditor",1504429787498
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504429794134
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504430006458
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504430011446
activated,view,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.views.SearchView",1504430020852
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504430020886
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504430027388
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504430031215
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504430031610
error,log,,,"Problems encountered during text search.",1504430035051
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504430036370
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504430071439
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1504430076188
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504430130110
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504430138501
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504430140718
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504430142871
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1504430143325
activated,view,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.views.SearchView",1504430147367
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504430147407
closed,editor,com.spket.xml,1.6.15,"com.spket.xml.editor.xmlEditor",1504430150679
opened,editor,com.businessobjects.crystalreports.integration.eclipse.crjspeditor,12.2.212.r1346,"com.businessobjects.crystalreports.integration.eclipse.jspeditor.CRJSPEditor",1504430151371
activated,editor,com.businessobjects.crystalreports.integration.eclipse.crjspeditor,12.2.212.r1346,"com.businessobjects.crystalreports.integration.eclipse.jspeditor.CRJSPEditor",1504430151421
started,bundle,org.eclipse.wst.dtd.core,1.1.401.v201101122255,"org.eclipse.wst.dtd.core",1504430152483
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1504430152552
activated,view,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.views.SearchView",1504430152972
activated,editor,com.businessobjects.crystalreports.integration.eclipse.crjspeditor,12.2.212.r1346,"com.businessobjects.crystalreports.integration.eclipse.jspeditor.CRJSPEditor",1504430153178
activated,view,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.views.SearchView",1504430154721
activated,editor,com.businessobjects.crystalreports.integration.eclipse.crjspeditor,12.2.212.r1346,"com.businessobjects.crystalreports.integration.eclipse.jspeditor.CRJSPEditor",1504430154888
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504430176405
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504430179337
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.navigate.openResource",1504430179347
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504430190532
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504430190570
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1504430190634
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1504430190808
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504430195895
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504430197273
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1504430202311
activated,editor,com.businessobjects.crystalreports.integration.eclipse.crjspeditor,12.2.212.r1346,"com.businessobjects.crystalreports.integration.eclipse.jspeditor.CRJSPEditor",1504430204029
activated,editor,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.1.v201005250945,"org.eclipse.datatools.sqltools.sqlscrapbook.SQLScrapbookEditor",1504430232621
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ResourceNavigator",1504430234940
opened,editor,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.1.v201005250945,"org.eclipse.datatools.sqltools.sqlscrapbook.SQLScrapbookEditor",1504430237996
activated,editor,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.1.v201005250945,"org.eclipse.datatools.sqltools.sqlscrapbook.SQLScrapbookEditor",1504430238073
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504430239111
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.findReplace",1504430239147
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1504430239495
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504430242786
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1504430247924
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504430248812
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504430248909
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ResourceNavigator",1504430249842
opened,editor,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.1.v201005250945,"org.eclipse.datatools.sqltools.sqlscrapbook.SQLScrapbookEditor",1504430251821
activated,editor,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.1.v201005250945,"org.eclipse.datatools.sqltools.sqlscrapbook.SQLScrapbookEditor",1504430251906
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504430253467
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.findReplace",1504430253503
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1504430253809
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504430256971
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504430265887
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504430265989
activated,editor,com.businessobjects.crystalreports.integration.eclipse.crjspeditor,12.2.212.r1346,"com.businessobjects.crystalreports.integration.eclipse.jspeditor.CRJSPEditor",1504430289006
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ResourceNavigator",1504430296487
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1504430297305
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504430299938
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504430318535
activated,editor,com.businessobjects.crystalreports.integration.eclipse.crjspeditor,12.2.212.r1346,"com.businessobjects.crystalreports.integration.eclipse.jspeditor.CRJSPEditor",1504430318558
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1504430352522
activated,view,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui.views.AntView",1504430354145
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1504430355252
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504430355609
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504430486331
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1504430491269
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504430492559
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504430514633
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1504430521443
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504430523359
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1504430523647
activated,view,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.views.SearchView",1504430527120
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504430527149
closed,editor,com.businessobjects.crystalreports.integration.eclipse.crjspeditor,12.2.212.r1346,"com.businessobjects.crystalreports.integration.eclipse.jspeditor.CRJSPEditor",1504430528978
opened,editor,com.spket.xml,1.6.15,"com.spket.xml.editor.xmlEditor",1504430529054
activated,editor,com.spket.xml,1.6.15,"com.spket.xml.editor.xmlEditor",1504430529127
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504430532750
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504430533776
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1504430533846
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1504430533908
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.navigate.openResource",1504430533933
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1504430536330
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1504430538094
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1504430538486
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504430539078
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.findReplace",1504430539117
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1504430539388
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504430541622
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1504430544270
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504430546218
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504430552474
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1504430557487
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1504430562948
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504430564535
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504430565801
